"数据导入模板"
"表:","Account"
""
""
"注意事项："
"请不要更改模板标题。"
"第一个数据列必须为空。"
"如果你在上传新纪录，那么单据编号(ID)列必须留空。"
"上传新纪录时，如果有单据编号模板字段，那么“单据编号模板”必须填写。"
"新记录中只有必填字段是必须的。可以删除非必填字段。"
"您只能更新选择的列。"
"一次最多只能上传5000条记录(某些情况下可能更少)"
""
"单据类型:","Account","","","","","","","","","","","","","","","","",""
"列标签：","编号","科目名称","公司","父科目","创建于","创建人","禁用","科目代码","是否分组","一级科目类型","报告类型","货币","科目类别","科目类型","税率","已冻结？","余额方向","是毛利相关科目"
"列名:","name","account_name","company","parent_account","creation","owner","disabled","account_number","is_group","root_type","report_type","account_currency","account_category","account_type","tax_rate","freeze_account","balance_must_be","include_in_gross"
"必须项：","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"类型：","Data","Data","Link","Link","Datetime","Link","Check","Data","Check","Select","Select","Link","Link","Select","Float","Select","Select","Check"
"信息：","","","Valid Company","Valid Account","yyyy-mm-dd","Valid User","0 or 1","","0 or 1","之一: Asset, Liability, Income, Expense, Equity","之一: Balance Sheet, Profit and Loss","Valid Currency","Valid Account Category","之一: Accumulated Depreciation, Asset Received But Not Billed, Bank, Cash, Chargeable, Capital Work in Progress, Cost of Goods Sold, Current Asset, Current Liability, Depreciation, Direct Expense, Direct Income, Equity, Expense Account, Expenses Included In Asset Valuation, Expenses Included In Valuation, Fixed Asset, Income Account, Indirect Expense, Indirect Income, Liability, Payable, Receivable, Round Off, Round Off for Opening, Stock, Stock Adjustment, Stock Received But Not Billed, Service Received But Not Billed, Tax, Temporary","","之一: No, Yes","之一: Debit, Credit","0 or 1"
"请在此线下开始输入数据"
"","""1000 - 资产 - QP""","资产","青皮（上海）信息科技有限公司","","2026-02-23 23:11:45.946484","Administrator",0,"1000",1,"Asset","Balance Sheet","CNY","","",0.0,"No","",0
"","""1701 - 无形资产 - QP""","无形资产","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:45.958405","Administrator",0,"1701",0,"Asset","Balance Sheet","CNY","","",0.0,"No","Debit",0
"","""1601 - 固定资产 - QP""","固定资产","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:46.020178","Administrator",0,"1601",1,"Asset","Balance Sheet","CNY","Tangible Assets","Fixed Asset",0.0,"No","Debit",0
"","""160102 - 电子设备 - QP""","电子设备","青皮（上海）信息科技有限公司","1601 - 固定资产 - QP","2026-02-23 23:11:46.027314","Administrator",0,"160102",0,"Asset","Balance Sheet","CNY","Tangible Assets","Fixed Asset",0.0,"No","Debit",0
"","""160101 - 办公设备 - QP""","办公设备","青皮（上海）信息科技有限公司","1601 - 固定资产 - QP","2026-02-23 23:11:46.031238","Administrator",0,"160101",0,"Asset","Balance Sheet","CNY","Tangible Assets","Fixed Asset",0.0,"No","Debit",0
"","""1602 - 累计折旧 - QP""","累计折旧","青皮（上海）信息科技有限公司","1601 - 固定资产 - QP","2026-02-23 23:11:46.049239","Administrator",0,"1602",0,"Asset","Balance Sheet","CNY","Tangible Assets","Accumulated Depreciation",0.0,"No","Debit",0
"","""1604 - 在建工程 - QP""","在建工程","青皮（上海）信息科技有限公司","1601 - 固定资产 - QP","2026-02-23 23:11:46.053642","Administrator",0,"1604",0,"Asset","Balance Sheet","CNY","Tangible Assets","Capital Work in Progress",0.0,"No","Debit",0
"","""1801 - 长期待摊费用 - QP""","长期待摊费用","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:46.059637","Administrator",0,"1801",0,"Asset","Balance Sheet","CNY","Other Non-current Liabilities","",0.0,"No","Debit",0
"","""1012 - 其他货币资金 - QP""","其他货币资金","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:45.977911","Administrator",0,"1012",0,"Asset","Balance Sheet","CNY","Cash and Cash Equivalents","Cash",0.0,"No","Debit",0
"","""1002 - 银行存款 - QP""","银行存款","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:45.974101","Administrator",0,"1002",1,"Asset","Balance Sheet","CNY","Cash and Cash Equivalents","Bank",0.0,"No","Debit",0
"","""100201 - 工商银行 - QP""","工商银行","青皮（上海）信息科技有限公司","1002 - 银行存款 - QP","2026-02-24 21:00:16.142988","dev@kingpy.com",0,"100201",0,"Asset","Balance Sheet","CNY","Cash and Cash Equivalents","Bank",0.0,"No","Debit",0
"","""1001 - 库存现金 - QP""","库存现金","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:45.981108","Administrator",0,"1001",0,"Asset","Balance Sheet","CNY","Cash and Cash Equivalents","Cash",0.0,"No","Debit",0
"","""1221 - 其他应收款 - QP""","其他应收款","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:45.968660","Administrator",0,"1221",0,"Asset","Balance Sheet","CNY","Other Receivables","Receivable",0.0,"No","Debit",0
"","""1405 - 库存商品 - QP""","库存商品","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:46.012143","Administrator",0,"1405",0,"Asset","Balance Sheet","CNY","Stock Assets","Stock",0.0,"No","Debit",0
"","""1123 - 预付账款 - QP""","预付账款","青皮（上海）信息科技有限公司","1000 - 资产 - QP","2026-02-23 23:11:45.990824","Administrator",0,"1123",0,"Asset","Balance Sheet","CNY","Cash and Cash Equivalents","Payable",0.0,"No","Debit",0
