"Data Import Template"
"Table:","Account"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Account","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Account Name","Company","Parent Account","Created On","Created By","Disable","Account Number","Is Group","Root Type","Report Type","Currency","Account Type","Tax Rate","Frozen","Balance must be","Include in gross"
"Column Name:","name","account_name","company","parent_account","creation","owner","disabled","account_number","is_group","root_type","report_type","account_currency","account_type","tax_rate","freeze_account","balance_must_be","include_in_gross"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Data","Link","Link","Datetime","Link","Check","Data","Check","Select","Select","Link","Select","Float","Select","Select","Check"
"Info:","","","Valid Company","Valid Account","dd-mm-yyyy","Valid User","0 or 1","","0 or 1","One of: Asset, Liability, Income, Expense, Equity","One of: Balance Sheet, Profit and Loss","Valid Currency","One of: Accumulated Depreciation, Asset Received But Not Billed, Bank, Cash, Chargeable, Capital Work in Progress, Cost of Goods Sold, Current Asset, Current Liability, Depreciation, Direct Expense, Direct Income, Equity, Expense Account, Expenses Included In Asset Valuation, Expenses Included In Valuation, Fixed Asset, Income Account, Indirect Expense, Indirect Income, Liability, Payable, Receivable, Round Off, Round Off for Opening, Stock, Stock Adjustment, Stock Received But Not Billed, Service Received But Not Billed, Tax, Temporary","","One of: No, Yes","One of: Debit, Credit","0 or 1"
"Start entering data below this line"
"","""1000 - 资产类 - QP""","资产","青皮（上海）信息科技有限公司","","2026-02-08 14:42:06.864778","Administrator",0,"1000",1,"Asset","Balance Sheet","CNY","",0.0,"No","",0
"","""1001 - 库存现金 - QP""","库存现金","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-08 14:42:06.902168","Administrator",0,"1001",0,"Asset","Balance Sheet","CNY","Cash",0.0,"No","",0
"","""1801 - 长期待摊费用 - QP""","长期待摊费用","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-08 14:42:07.092085","Administrator",0,"1801",0,"Asset","Balance Sheet","CNY","",0.0,"No","",0
"","""1221 - 其他应收款 - QP""","其他应收款","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-08 14:42:06.889243","Administrator",0,"1221",0,"Asset","Balance Sheet","CNY","Current Asset",0.0,"No","",0
"","""1701 - 无形资产 - QP""","无形资产","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-08 14:42:06.959785","Administrator",0,"1701",0,"Asset","Balance Sheet","CNY","",0.0,"No","",0
"","""1122 - 应收帐款 - QP""","应收帐款","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-08 14:42:06.883205","Administrator",0,"1122",0,"Asset","Balance Sheet","CNY","Receivable",0.0,"No","",0
"","""1002 - 银行存款 - QP""","银行存款","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-09 03:02:15.352777","Administrator",0,"1002",1,"Asset","Balance Sheet","CNY","",0.0,"No","",0
"","""100201 - 工商银行 - QP""","工商银行","青皮（上海）信息科技有限公司","1002 - 银行存款 - QP","2026-02-11 02:12:32.607343","Administrator",0,"100201",0,"Asset","Balance Sheet","CNY","Bank",0.0,"No","Debit",0
"","""1405 - 库存商品 - QP""","库存商品","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-09 03:02:15.384782","Administrator",0,"1405",0,"Asset","Balance Sheet","CNY","Stock",0.0,"No","",0
"","""1601 - 固定资产 - QP""","固定资产","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-09 03:02:15.395559","Administrator",0,"1601",1,"Asset","Balance Sheet","CNY","",0.0,"No","",0
"","""160101 - 电子设备 - QP""","电子设备","青皮（上海）信息科技有限公司","1601 - 固定资产 - QP","2026-02-08 19:15:44.031637","Administrator",0,"160101",0,"Asset","Balance Sheet","CNY","Fixed Asset",0.0,"No","",0
"","""1602 - 累计折旧 - QP""","累计折旧","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-09 03:02:15.405364","Administrator",0,"1602",0,"Asset","Balance Sheet","CNY","Accumulated Depreciation",0.0,"No","",0
"","""1123 - 预付账款 - QP""","预付账款","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-12 02:05:24.816415","Administrator",0,"1123",0,"Asset","Balance Sheet","CNY","Payable",0.0,"No","",0
"","""1604 - 在建工程 - QP""","在建工程","青皮（上海）信息科技有限公司","1000 - 资产类 - QP","2026-02-12 02:18:44.035886","Administrator",0,"1604",0,"Asset","Balance Sheet","CNY","Capital Work in Progress",0.0,"No","",0
