Language,Source Text,Translated Text
zh,Accounts Setup,会计设置
zh,Accounts Settings,会计设置
zh,Account Category,科目类别
zh,Description,描述
zh,Trade Receivables,应收账款
zh,Trade Payables,应付账款
zh,Tax Expense,税费支出
zh,Tangible Assets,有形资产
zh,Stock Assets,存货资产
zh,Short-term Provisions,短期预计负债
zh,Short-term Investments,短期投资
zh,Short-term Borrowings,短期借款
zh,Share Capital,股本
zh,Revenue from Operations,营业收入
zh,Reserves and Surplus,留存收益
zh,Other Receivables,其他应收款
zh,Other Payables,其他应付款
zh,Other Operating Income,其他业务收入
zh,Other Non-current Liabilities,其他非流动负债
zh,Other Non-current Assets,其他非流动资产
zh,Other Direct Costs,其他直接成本
zh,Other Current Liabilities,其他流动负债
zh,Other Current Assets,其他流动资产
zh,Operating Expenses,营业费用
zh,Long-term Provisions,长期预计负债
zh,Long-term Investments,长期投资
zh,Long-term Borrowings,长期借款
zh,Investment Income,投资收益
zh,Intangible Assets,无形资产
zh,Finance Costs,财务费用
zh,Current Tax Liabilities,当期应交税费
zh,Cost of Goods Sold,销货成本
zh,Cash and Cash Equivalents,现金及现金等价物
